1928.00,-1860.00,-14572.00,-2272.00,2105.00,3380.00
1768.00,-2032.00,-14912.00,-2272.00,2206.00,1977.00
1528.00,-2228.00,-15140.00,-2272.00,2229.00,1156.00
1536.00,-2604.00,-15808.00,-2272.00,2545.00,786.00
1736.00,-3032.00,-16172.00,-2256.00,1973.00,1005.00
1952.00,-3832.00,-16328.00,-2288.00,1956.00,641.00
2284.00,-4328.00,-16532.00,-2288.00,1676.00,228.00
2436.00,-4528.00,-16612.00,-2304.00,1525.00,-575.00
2492.00,-4540.00,-16700.00,-2272.00,1922.00,-1374.00
2496.00,-4884.00,-16596.00,-2272.00,2213.00,-2119.00
1852.00,-5276.00,-17188.00,-2272.00,2312.00,-2489.00
1180.00,-4652.00,-17296.00,-2272.00,2635.00,-2802.00
960.00,-4372.00,-17284.00,-2272.00,2198.00,-2529.00
840.00,-4328.00,-17488.00,-2288.00,2835.00,-2462.00
268.00,-3300.00,-16840.00,-2288.00,1593.00,-1844.00
-88.00,-3640.00,-17128.00,-2256.00,1363.00,-1336.00
216.00,-4172.00,-16964.00,-2304.00,1802.00,-1100.00
428.00,-3928.00,-16764.00,-2272.00,2044.00,-865.00
12.00,-4148.00,-17160.00,-2256.00,1959.00,-684.00
-80.00,-4332.00,-17416.00,-2240.00,2312.00,-885.00
-428.00,-4604.00,-17440.00,-2272.00,2842.00,-925.00
-476.00,-4640.00,-17188.00,-2272.00,3209.00,-613.00
-500.00,-4928.00,-16772.00,-2288.00,2942.00,-260.00
172.00,-4928.00,-16580.00,-2272.00,2813.00,63.00
-40.00,-4728.00,-16520.00,-2288.00,2285.00,67.00
-60.00,-4932.00,-16328.00,-2272.00,2589.00,-256.00
268.00,-4992.00,-16312.00,-2272.00,2541.00,-436.00
-320.00,-4484.00,-16892.00,-2272.00,1992.00,-1599.00
-732.00,-4792.00,-15720.00,-2288.00,1946.00,-1955.00
-1048.00,-4200.00,-14868.00,-2256.00,1028.00,-525.00
-520.00,-3784.00,-16008.00,-2272.00,-642.00,-340.00
8.00,-4476.00,-16692.00,-2272.00,-261.00,-440.00
-484.00,-5084.00,-16892.00,-2272.00,-62.00,-553.00
-604.00,-5008.00,-16804.00,-2304.00,-83.00,-836.00
-728.00,-5304.00,-17356.00,-2256.00,342.00,-1334.00
-904.00,-5312.00,-17140.00,-2272.00,679.00,-1362.00
-1280.00,-4928.00,-17488.00,-2288.00,884.00,-1060.00
-1084.00,-4996.00,-17612.00,-2272.00,1658.00,-685.00
-1244.00,-4472.00,-17272.00,-2304.00,2128.00,-278.00
-680.00,-4280.00,-17244.00,-2272.00,2449.00,-125.00
80.00,-4696.00,-17336.00,-2288.00,3853.00,139.00
-380.00,-5116.00,-17544.00,-2304.00,4898.00,118.00
-664.00,-4976.00,-17452.00,-2288.00,5769.00,-52.00
-1080.00,-4604.00,-17196.00,-2272.00,6233.00,153.00
-988.00,-4276.00,-16840.00,-2272.00,5469.00,757.00
-292.00,-4320.00,-16788.00,-2288.00,4866.00,1424.00
-8.00,-4312.00,-16292.00,-2272.00,4032.00,2006.00
676.00,-4616.00,-16200.00,-2256.00,3367.00,2255.00
708.00,-4752.00,-16440.00,-2240.00,2959.00,1706.00
428.00,-5116.00,-16644.00,-2240.00,2765.00,942.00
284.00,-5028.00,-16556.00,-2272.00,2377.00,670.00
508.00,-4916.00,-16640.00,-2288.00,2199.00,680.00
648.00,-5016.00,-16588.00,-2272.00,2263.00,743.00
676.00,-4844.00,-16820.00,-2256.00,2535.00,820.00
644.00,-4848.00,-16760.00,-2272.00,2730.00,759.00
672.00,-5108.00,-16516.00,-2256.00,2966.00,534.00
1020.00,-5120.00,-16516.00,-2272.00,2738.00,854.00
948.00,-4828.00,-16640.00,-2272.00,2500.00,765.00
492.00,-4856.00,-16844.00,-2288.00,2576.00,635.00
-56.00,-4936.00,-16816.00,-2240.00,3153.00,759.00
216.00,-4832.00,-16256.00,-2256.00,2512.00,1225.00
1040.00,-5148.00,-16524.00,-2256.00,2348.00,1249.00
92.00,-5336.00,-16436.00,-2288.00,2079.00,961.00
380.00,-4780.00,-16080.00,-2256.00,1991.00,684.00
468.00,-4604.00,-16232.00,-2288.00,1796.00,252.00
312.00,-4556.00,-16212.00,-2240.00,1729.00,101.00
560.00,-4392.00,-15968.00,-2256.00,1349.00,-486.00
1116.00,-4076.00,-16080.00,-2272.00,1115.00,-892.00
732.00,-5176.00,-16192.00,-2272.00,986.00,-1725.00
996.00,-4784.00,-16132.00,-2272.00,637.00,-2828.00
700.00,-3988.00,-16456.00,-2272.00,-506.00,-3100.00
652.00,-4188.00,-15728.00,-2256.00,-1473.00,-3147.00
864.00,-3864.00,-16088.00,-2288.00,-1577.00,-3637.00
124.00,-4088.00,-15460.00,-2256.00,-2133.00,-4255.00
380.00,-4168.00,-16160.00,-2272.00,-2504.00,-3964.00
72.00,-3376.00,-15228.00,-2272.00,-2982.00,-4875.00
304.00,-3784.00,-16016.00,-2240.00,-2686.00,-4626.00
